input_file,read_line_version,time
1000.txt,original,0.000
1000.txt,improved,0.000
10000.txt,original,0.001
10000.txt,improved,0.001
100000.txt,original,0.001
100000.txt,improved,0.001
500000.txt,original,0.000
500000.txt,improved,0.001
1000000.txt,original,0.012
1000000.txt,improved,0.002
2000000.txt,original,0.053
2000000.txt,improved,0.002
5000000.txt,original,0.260
5000000.txt,improved,0.003
10000000.txt,original,1.437
10000000.txt,improved,0.000
20000000.txt,original,7.275
20000000.txt,improved,0.008
50000000.txt,original,47.267
50000000.txt,improved,0.004
100000000.txt,original,186.952
100000000.txt,improved,0.032
200000000.txt,original,753.706
200000000.txt,improved,0.057
500000000.txt,original,4751.976
500000000.txt,improved,0.127
